Login - 2018-10-08 6:35:17 PM: 0001
Login - 2018-10-08 6:39:14 PM: 0001
Added User - 2018-10-08 6:42:20 PM: New User Id: 0003,UserLevel: SALES_MANAGER,Added by: 0001
Added User - 2018-10-08 6:42:56 PM: New User Id: 0004,UserLevel: CONTROLLER,Added by: 0001
Login - 2018-10-08 7:10:12 PM: 0003
Login - 2018-10-08 7:10:35 PM: 0001
Added User - 2018-10-08 7:12:24 PM, New User Id: 0005,UserLevel: CLERK, Added by: 0001
Login - 2018-11-08 10:00:17 PM, User Id: 0010
Login - 2018-11-08 10:02:52 PM, User Id: 0010
Login - 2018-11-08 10:07:33 PM, User Id: 0010
Login - 2018-11-08 10:22:58 PM, User Id: 0010
Login - 2018-11-08 10:25:50 PM, User Id: 0010
Added User - 2018-11-08 10:27:32 PM, New User Id: KL01,UserLevel: CLERK, Added by: 0010
Login - 2018-11-08 10:28:25 PM, User Id: KL01
Login - 2018-11-08 10:37:26 PM, User Id: 0010
Login - 2018-11-08 10:41:13 PM, User Id: 0010
Login - 2018-11-08 10:49:39 PM, User Id: 0010
Login - 2018-11-08 10:54:15 PM, User Id: 0010
Added User - 2018-11-08 10:54:35 PM, New User Id: KL02,UserLevel: CONTROLLER, Added by: 0010
Login - 2018-11-08 10:56:04 PM, User Id: KL02
Login - 2018-11-08 10:57:35 PM, User Id: 0010
User Removed- 2018-11-08 10:58:30 PM, Removed User Id: KL02, Removed by: 0010
Login - 2018-11-08 11:09:32 PM, User Id: 0010
Added User - 2018-11-08 11:09:49 PM, New User Id: KL02,UserLevel: CLERK, Added by: 0010
Login - 2018-11-08 11:10:16 PM, User Id: KL02
Login - 2018-11-08 11:10:44 PM, User Id: KL02
Login - 2018-11-08 11:10:56 PM, User Id: 0010
Password Reset- 2018-11-08 11:11:07 PM,User Id: KL02,Reset by: 0010
Login - 2018-11-08 11:11:40 PM, User Id: KL02
Login - 2018-11-08 11:12:54 PM, User Id: 0010
Password Reset- 2018-11-08 11:13:52 PM,User Id: KL02,Reset by: 0010
Login - 2018-11-10 8:00:57 PM, User Id: 0010
Login - 2018-11-10 8:03:34 PM, User Id: 0010
Password Reset- 2018-11-10 8:04:24 PM,User Id: KL02,Reset by: 0010
User Removed- 2018-11-10 8:05:14 PM, Removed User Id: KL02, Removed by: 0010
Added User - 2018-11-10 8:05:40 PM, New User Id: KL03,UserLevel: MIS_MANAGER, Added by: 0010
Added User - 2018-11-10 8:06:10 PM, New User Id: ZL03,UserLevel: CONTROLLER, Added by: 0010
Login - 2018-11-10 8:19:28 PM, User Id: 0010
Password Reset- 2018-11-10 8:20:17 PM,User Id: ZL03,Reset by: 0010
Added User - 2018-11-10 8:20:43 PM, New User Id: KA01,UserLevel: SALES_MANAGER, Added by: 0010
User Removed- 2018-11-10 8:21:10 PM, Removed User Id: ZL03, Removed by: 0010
Login - 2018-11-10 8:40:55 PM, User Id: 0010
Login - 2018-11-10 8:44:39 PM, User Id: 0010
Login - 2018-11-10 8:48:41 PM, User Id: 0010
Login - 2018-11-10 8:50:28 PM, User Id: 0010
Login - 2018-11-10 8:52:05 PM, User Id: 0010
Added User - 2018-11-10 8:52:59 PM, New User Id: ZORE,UserLevel: CLERK, Added by: 0010
Login - 2018-11-10 8:54:58 PM, User Id: 0010
Login - 2018-11-10 9:09:31 PM, User Id: 0010
Login - 2018-11-10 9:15:13 PM, User Id: 0010
Login - 2018-11-10 9:16:08 PM, User Id: 0010
